Female,Bachelor's Degree,,Employed full-time,,White,,Independent,"$150,000 - $199,999",I am currently in or already completed college,"No, I would not go to college regardless of a scholarship","Yes, I would only apply to a scholarship if its process were simple",School counselor or college advisor,,Difficulty finding scholarships I'm eligible for,
Male,Some college or associate's degree,,"Employed part-time,Student",,White,,Independent,"Less than $25,000",I am currently in or already completed college,"Yes, but only if I had a full scholarship","No, I would apply to a scholarship regardless of the difficulty","School counselor or college advisor,Other, please specify:",,Scholarship search takes too long,
Female,Some college or associate's degree,,Student,,Black or African American,,Don't know/prefer not to answer,"$75,000 - $99,999",I am currently in or already completed college,"No, I would go to college regardless of a scholarship","Yes, I would only apply to a scholarship if its process were simple",College financial aid office,,Lack of awareness about available scholarships,
Male,Some college or associate's degree,,"Employed part-time,Student",,Asian or Pacific Islander,,Independent,"$200,000 or more",I am currently in or already completed college,"No, I would go to college regardless of a scholarship","Yes, I would only apply to a scholarship if its process were simple","School counselor or college advisor,Online scholarship databases or search engines,College financial aid office,Family and/or friends",,"Scholarship search takes too long,Scholarship application takes too long,Difficulty finding scholarships I'm eligible for",
Male,Bachelor's Degree,,Student,,Asian or Pacific Islander,,Independent,"Less than $25,000",I am currently in or already completed college,"No, I would go to college regardless of a scholarship","No, I would not apply regardless of difficulty",College financial aid office,,Difficulty finding scholarships I'm eligible for,
Female,Bachelor's Degree,,Student,,Asian or Pacific Islander,,Dependent,Don't know/prefer not to answer,I am currently in or already completed college,"Yes, but a partial scholarship is fine","No, I would apply to a scholarship regardless of the difficulty","School counselor or college advisor,College financial aid office,Family and/or friends,Social media platforms or forums",,"Scholarship application takes too long,Lack of awareness about available scholarships",
Male,Graduate or professional degree,,Employed full-time,,Asian or Pacific Islander,,Independent,"$200,000 or more",I am currently in or already completed college,"No, I would go to college regardless of a scholarship","Yes, I would only apply to a scholarship if its process were simple","School counselor or college advisor,Online scholarship databases or search engines,College financial aid office",,"Scholarship search takes too long,Scholarship application takes too long,Difficulty finding scholarships I'm eligible for",
Male,Some college or associate's degree,,"Employed part-time,Student",,Asian or Pacific Islander,,Dependent,"$25,000 - $49,999",I am currently in or already completed college,"No, I would go to college regardless of a scholarship","Yes, I would only apply to a scholarship if its process were simple","Online scholarship databases or search engines,College financial aid office,Family and/or friends",,"Scholarship search takes too long,Scholarship application takes too long,Difficulty finding scholarships I'm eligible for,Lack of awareness about available scholarships",
Male,Bachelor's Degree,,Employed full-time,,White,,Independent,"$200,000 or more",I am currently in or already completed college,"No, I would go to college regardless of a scholarship","Yes, I would only apply to a scholarship if its process were simple",Online scholarship databases or search engines,,Scholarship application takes too long,
Female,Bachelor's Degree,,Student,,White,,Dependent,"$100,000 - $149,999",I am currently in or already completed college,"No, I would go to college regardless of a scholarship","Yes, I would only apply to a scholarship if its process were simple",College financial aid office,,"Scholarship search takes too long,Difficulty finding scholarships I'm eligible for,Lack of awareness about available scholarships",
Female,High school Diploma,,"Employed part-time,Student",,Asian or Pacific Islander,,Dependent,"$100,000 - $149,999",I am currently in or already completed college,"Yes, but a partial scholarship is fine","Yes, I would only apply to a scholarship if its process were simple","School counselor or college advisor,Online scholarship databases or search engines,Employer or workplace,Family and/or friends,Social media platforms or forums",,"Scholarship application takes too long,Difficulty finding scholarships I'm eligible for,Lack of awareness about available scholarships",
Female,Some college or associate's degree,,"Employed part-time,Student",,White,,Dependent,"$50,000 - $74,999",I am currently in or already completed college,"No, I would go to college regardless of a scholarship","No, I would apply to a scholarship regardless of the difficulty","School counselor or college advisor,Online scholarship databases or search engines",,"Scholarship search takes too long,Scholarship application takes too long,Difficulty finding scholarships I'm eligible for,Lack of awareness about available scholarships",
